City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,port elizabeth,-33.918,25.5701,291.31,79,20,11.83,ZA,1681442874
84,spirit river,55.7833,-118.8361,278.39,55,95,2.29,CA,1681442874
85,la tuque,47.4334,-72.7824,282.29,57,85,2.57,CA,1681442817
86,touros,-5.1989,-35.4608,297.8,90,83,3.8,BR,1681442373
87,robertsport,6.7533,-11.3686,299.88,88,100,2.7,LR,1681442338
88,metro,-5.1131,105.3067,302.37,67,100,2.11,ID,1681442880
89,arandis,-22.4167,14.9667,289.55,37,0,1.45,NA,1681442881
90,qaanaaq,77.484,-69.3632,257.77,75,3,2.68,GL,1681442883
91,ler,8.3018,30.1418,299.54,53,87,0.34,SS,1681442721
92,camacha,33.0833,-16.3333,288.83,59,75,3.09,PT,1681442357
93,esperance,-33.8667,121.9,287.8,64,69,14.05,AU,1681442885
94,lamu,-2.2717,40.902,299.27,84,98,2.55,KE,1681442885
95,luderitz,-26.6481,15.1594,289.28,70,62,8.56,NA,1681442396
96,granard,53.7667,-7.5,274.22,85,96,0.36,IE,1681442886
97,yulara,-25.2406,130.9889,304.04,40,100,10.65,AU,1681442317
98,fuling,29.7022,107.3919,293.07,92,97,0.4,CN,1681442887
99,sola,-13.8833,167.55,300.59,71,100,1.87,VU,1681442514
100,nanortalik,60.1432,-45.2371,274.13,78,100,2.45,GL,1681442301
101,kaeo,-35.1,173.7833,296.11,81,100,6.1,NZ,1681442490
102,khatanga,71.9667,102.5,253.11,82,52,7.84,RU,1681442890
103,nurota,40.5614,65.6886,301.03,16,100,7.98,UZ,1681442502
104,moron,-34.6534,-58.6198,287.58,59,67,3.17,AR,1681442891
105,saint george,37.1041,-113.5841,292.48,30,75,3.58,US,1681442343
106,suamico,44.6319,-88.0393,292.46,50,0,3.6,US,1681442892
107,asau,46.4333,26.4,275.66,82,7,1.06,RO,1681442892
108,bikin,46.8161,134.26,277.9,61,100,3.92,RU,1681442893
109,truth or consequences,33.1284,-107.2528,294.21,13,0,3.6,US,1681442880
110,beloha,-25.1667,45.05,292.55,97,6,2.64,MG,1681442339
111,kondinskoye,59.6481,67.41,261.57,69,26,4.12,RU,1681442350
112,cidreira,-30.1811,-50.2056,291.62,86,100,4.69,BR,1681442895
113,namatanai,-3.6667,152.4333,301.59,78,100,7.06,PG,1681442478
114,kadayanallur,9.0833,77.35,302.5,53,58,1.36,IN,1681442896
115,mgandu,-5.95,34.1333,288.28,98,96,2.08,TZ,1681442897
116,turochak,52.2576,87.1224,280.27,70,100,2.62,RU,1681442897
117,saskylakh,71.9167,114.0833,262.13,87,54,7.34,RU,1681442898
118,husavik,66.0449,-17.3389,275.33,94,98,1.21,IS,1681442514
119,bluff,-46.6,168.3333,289.24,70,0,5.66,NZ,1681442899
120,lompoc,34.6391,-120.4579,284.7,82,0,5.14,US,1681442900
121,iqaluit,63.7506,-68.5145,258.14,94,79,2.2,CA,1681442081
122,mbaiki,3.8678,17.9892,294.46,99,100,0.86,CF,1681442901
123,ponta do sol,32.6667,-17.1,290.93,72,79,3.82,PT,1681442902
124,nantucket,41.2835,-70.0995,288.23,74,0,7.2,US,1681442193
125,cherskiy,68.75,161.3,262.12,77,7,3.29,RU,1681442903
126,port-cartier,50.0334,-66.8654,277.97,96,100,1.79,CA,1681442824
127,cape town,-33.9258,18.4232,290.58,67,20,3.6,ZA,1681442701
